gene	mean_log2_cpm_control	mean_log2_cpm_covid19	log2_cpm_difference	p_value	fdr_bh
OAZ1	3.936808672477593	6.943985873144949	3.007177200667356	6.074416439503373e-06	0.0036332087073032296
BCLAF3	5.981731174090342	5.177260616326261	-0.8044705577640814	6.368592090820713e-06	0.0036332087073032296
LINC02334	5.30170222246129	3.1620473021603464	-2.1396549203009436	6.37882586339286e-06	0.0036332087073032296
INPP5J	1.9030267079630054	0.6748110742125767	-1.2282156337504286	6.38345305657617e-06	0.0036332087073032296
LYAR	3.6191776742651096	4.397504591884347	0.7783269176192378	6.643324823255226e-06	0.0036332087073032296
KCNQ1OT1	8.185957836913069	7.386446790041634	-0.7995110468714346	6.683914284695266e-06	0.0036332087073032296
PHF23	2.3299448338932076	3.729233478378319	1.3992886444851114	7.507452814509136e-06	0.0039038144847471207
RFK	1.7307694173078496	3.566730750177514	1.8359613328696645	7.540827317268964e-06	0.0039038144847471207
SH3D19	8.416747963187948	7.3119355116176665	-1.1048124515702815	7.737068204695308e-06	0.003912257534295118
HSPE1	2.585666028640549	6.249145669206045	3.663479640565496	7.977775527429249e-06	0.003942290302111231
CBL	6.49685907443928	7.457753846656551	0.9608947722172712	8.553669563415563e-06	0.003984301504918136
PSMD10	1.5147824194967083	3.2822523169197133	1.767469897423005	8.580897858037004e-06	0.003984301504918136
GNAI2	5.158999417511008	7.032712833256023	1.8737134157450157	8.9853173373707e-06	0.003984301504918136
PPP4R2	6.53444505057476	7.232728655883946	0.6982836053091859	9.133425977601002e-06	0.003984301504918136
AL391832.4	1.541631211675853	0.8015623308092524	-0.7400688808666006	9.404601418624874e-06	0.003984301504918136
NECAP1	4.069194507898786	4.72170224517513	0.6525077372763439	9.413147190670662e-06	0.003984301504918136
ATG3	4.54605551807341	5.444332921047383	0.8982774029739735	9.441407405870258e-06	0.003984301504918136
AL133245.1	2.004299208788704	0.8095977132596083	-1.1947014955290958	9.686376364068219e-06	0.003984301504918136
AL138760.1	3.5994785772727047	2.0588036734606594	-1.5406749038120453	9.775472469460748e-06	0.003984301504918136
FNIP1	7.9768799811204145	8.51190023191299	0.5350202507925763	1.0010350723473944e-05	0.003984301504918136
